# pre-flip -> post-flip sha map, saltworks
# derived by docs/ledger-tools/flipmap.sh from refs/pre-flip/master (2b9dd57) -> HEAD (19c59a1)
# validated 5/5 against the helm citation-law pairs of 08/16 19:20
# columns: pre<TAB>post<TAB>key-strength   -- date-only rows rest on WEAKER evidence
1f4a313	895b1b8	date+subject
1f4bc6f	47069cf	date+subject
1f5e0b6	2116e46	date+subject
1f6f63e	a2075cd	date+subject
1f7ceee	233b821	date+subject
1f83b9a	2891233	date+subject
1fc518a	d6429e8	date+subject
20025d7	59f17dd	date+subject
202b214	1e2d382	date+subject
202dd11	30977fc	date+subject
203250f	cd41128	date+subject
20831ec	ba22e10	date+subject
20ba82c	7bbe186	date+subject
20cdc83	91e103d	date+subject
20cf38e	038574e	date+subject
2154010	e68b953	date+subject
218c858	2575a86	date+subject
218e4a5	9b2f5fc	date+subject
21e9bb5	8d473db	date+subject
220c63e	1629cfc	date+subject
2214b0f	91e8eda	date+subject
225443a	55a6782	date+subject
228ae83	e279502	date+subject
22a9c02	3b4464d	date+subject
22b8e25	72a3d60	date+subject
22be176	e6364a7	date+subject
22ea383	31ed249	date+subject
2356fed	8c8f2b4	date+subject
2358ab8	eea8605	date+subject
2367bf6	2b1e935	date+subject
236ccff	da34029	date+subject
23c3495	981acc3	date+subject
23c4792	96ece23	date+subject
23dc743	c2660ec	date+subject
23e6039	e6eef82	date+subject
2407006	d5e325f	date+subject
245970f	7c6a614	date+subject
24606ae	43f1035	date+subject
247bb35	5bc46f2	date+subject
248f725	87ecf9e	date+subject
24920e5	e9e222b	date+subject
24bf392	00fd477	date+subject
24d2762	37ec8f1	date+subject
24e7a85	9f09112	date+subject
259ab4b	a908243	date+subject
25c5e46	ad7ee20	date+subject
25c97d6	49b9267	date+subject
25f0632	cb2f67e	date+subject
25f73d3	049e7de	date+subject
260bf43	bd2d408	date+subject
26168f1	1f75292	date+subject
261cc13	487f807	date+subject
262e4f7	5a9df81	date+subject
26353d2	5a03d38	date+subject
267787d	365fa91	date+subject
26865be	1e05b33	date+subject
26ff25e	797cd3e	date+subject
2704fa0	dbf465e	date+subject
271b4d6	de6871c	date+subject
2723c40	e179ba5	date+subject
2781251	d3f1e75	date+subject
2785d88	500fc4d	date+subject
27a1789	0a633ed	date+subject
27ad9f8	6933304	date+subject
27c8526	bd2cdc7	date+subject
27d8867	f52241b	date+subject
28172c9	6f1a8ad	date+subject
28accfa	e85db7e	date+subject
28aeba6	9fd2fd7	date+subject
28db1e5	0888380	date+subject
2919ad4	f4738c4	date+subject
2933a99	cdec960	date+subject
29646cf	d3830ff	date+subject
298b940	66004ae	date+subject
29d28bd	707b979	date+subject
29d7078	0947c1c	date+subject
2a0f1f0	7d8b112	date+subject
2a16a8c	b973038	date+subject
2a27c12	669bc77	date+subject
2a4af2d	fc3880d	date+subject
2ad1cb3	682352c	date+subject
2ad42fe	8f945ea	date+subject
2ae195c	82a90d2	date+subject
2ae5ae3	9c21901	date+subject
2b40e44	e7ab455	date+subject
2b44702	01b06dc	date+subject
2b56654	5c1df61	date+subject
2b65d22	4258821	date+subject
2b9dd57	3d022df	date+subject
2bc6d02	35ecca1	date+subject
2c04abd	d26c496	date+subject
2c3f809	03e4d36	date+subject
2d328d0	ee64503	date+subject
2d4e218	6de24a4	date+subject
2d5d063	4641fc4	date+subject
2d5f747	7ff8001	date+subject
2d68725	254246c	date+subject
2d7b4fc	82fc7b4	date+subject
2d92326	251eb86	date+subject
2dcf390	d02c6e4	date+subject
2dd0b22	09544a6	date+subject
2dd6c6d	dc080c6	date+subject
2dd8315	350c850	date+subject
2de43c0	298d0f5	date+subject
2de8a1b	9d23de4	date+subject
2e04f61	5912e37	date+subject
2e24205	5ae4b90	date+subject
2e31f20	1e51fd0	date+subject
2e6cd29	2b6df92	date+subject
2e6fd62	d57e1b3	date+subject
2e7b0a0	eaa8376	date+subject
2e89d77	d8745c1	date+subject
2eba34d	f3d9c59	date+subject
2ee6a9f	e026233	date+subject
2f302c0	5ea6f04	date+subject
2f36749	b061356	date+subject
2f4b120	abce54d	date+subject
2f86b92	f4b97ac	date+subject
2fba243	d498024	date+subject
2fc95d8	839f3ea	date+subject
2ffab29	9a8f5ec	date+subject
3013150	1a6aa70	date+subject
30136ce	0002aa7	date+subject
304d547	b12af58	date+subject
306b21d	6316acd	date+subject
30794fa	03b8bd5	date+subject
308ee42	176e718	date+subject
3091ccd	e00d25d	date+subject
30ad0f5	fdc21bf	date+subject
30bbfe4	0e2352d	date+subject
30cd261	4bbbeaa	date+subject
31127f9	4aec471	date+subject
3147194	d753a01	date+subject
31637c7	7ddc714	date+subject
31680c6	c2cbb21	date+subject
3184ac9	f63ebd8	date+subject
3190960	4b326f7	date+subject
31df9f1	275c894	date+subject
31fd5f9	616aef7	date+subject
320f23b	ed73850	date+subject
32218ca	89199d5	date+subject
32458af	8c0515d	date+subject
325e255	01ac22e	date+subject
326d7d3	0fe5084	date+subject
328bfe7	d211c6c	date+subject
3324572	eb3fc5d	date+subject
3335009	eef47a0	date+subject
33a28c2	60866b7	date+subject
33a3c86	0ee929d	date+subject
33ab9d6	77a7033	date+subject
33b2f0e	9224fce	date+subject
33c40d7	51983dd	date+subject
33dd27e	efa26ec	date+subject
33f6e2d	2e0855a	date+subject
346563e	497774f	date+subject
347924a	fadc100	date+subject
3482954	23a92bc	date+subject
34927c7	a3161da	date+subject
34974f1	8ad98df	date+subject
34a1076	e76f998	date+subject
34a2f8b	38157af	date+subject
34a6e3e	9ed5191	date+subject
34ad35e	7cf8259	date+subject
34b65dd	e597405	date+subject
351ae5c	d957a32	date+subject
3522b78	18e2bba	date+subject
3533960	3c8bf7f	date+subject
3538112	6a024c9	date+subject
356dd98	531d11c	date+subject
35972fa	3498206	date+subject
35cbc9e	b35fac7	date+subject
35d3ca6	f4e48f8	date+subject
361382a	1bffc4e	date+subject
361e606	3a68802	date+subject
362e95e	5f71e4f	date+subject
3630236	fb389ca	date+subject
364c918	3cfcf64	date+subject
3666c51	45649d3	date+subject
36a37a5	0a744a4	date+subject
36b1bed	a1f523f	date+subject
3772e6f	b842108	date+subject
37ddd8b	5cc77d7	date+subject
37e7697	db4f5cc	date+subject
3801ee8	16533bf	date+subject
380224d	2c756eb	date+subject
38067f1	03df73f	date+subject
385e8aa	652bb4a	date+subject
3872565	e96bb20	date+subject
387c8d5	1798250	date+subject
3885320	576125f	date+subject
3891a2e	531c909	date+subject
38aa028	7c8eb5c	date+subject
38c5e93	84400bf	date+subject
38e54dc	87e4e1c	date+subject
38ecaf4	0c0a3ae	date+subject
38fc8e6	090cb71	date+subject
392c747	4bcbb9c	date+subject
396afef	e3efee6	date+subject
3996aac	2406f32	date+subject
39af5fd	7f8d9d4	date+subject
3a13eb1	cc28433	date+subject
3a1556a	2a5255d	date+subject
3a304fc	ef70f2c	date+subject
3a40ccb	64af696	date+subject
3a5fb64	ece9bf0	date+subject
3a7037e	2a335d2	date+subject
3a8b452	c2d9207	date+subject
3a8eb86	aac5add	date+subject
3a9dad6	8fcf57b	date+subject
3ab863a	fb15b27	date+subject
3b3551b	05f90fc	date+subject
3b3e707	f212009	date+subject
3b52c6a	f8fea01	date+subject
3bcd6a9	653c154	date+subject
3bd961c	6fc895c	date+subject
3bf84a0	bab134e	date+subject
3c07566	0a2110a	date+subject
3c0b2bd	3e84c11	date+subject
3c1c148	3d863c6	date+subject
3c3f81d	cdfe0ff	date+subject
3c62228	9b30d06	date+subject
3d4637b	7a4c873	date+subject
3d56a5d	5346205	date+subject
3d7a9cc	c78d134	date+subject
3da7e38	c756ff5	date+subject
3dd747b	49960b3	date+subject
3de705c	d349d9a	date+subject
3def980	4a03f63	date+subject
3df9119	bbf1e3f	date+subject
3e41d10	0f7a6f5	date+subject
3e5f386	c5044da	date+subject
3e748e4	fd25c7d	date+subject
3ec4a73	05ed5be	date-only(UNIQUE-SECOND)
3ed0508	644fff0	date+subject
3ed7f81	28202a4	date+subject
403c00e	11f9c27	date+subject
405fb85	5015407	date+subject
406a93b	a06d946	date+subject
406ea5a	56944ce	date+subject
40cded4	e3e18e0	date+subject
4105be6	17389c9	date+subject
41383e1	e2796a6	date+subject
4151767	ce3723b	date+subject
4151ac0	a34ba77	date+subject
41591cb	fb15e64	date+subject
4167e2b	35e3b43	date+subject
41a2dcd	c8fbbd3	date+subject
41b4bcf	16fbfb3	date+subject
4251493	ca400a0	date+subject
4264e3b	81d683c	date+subject
426cad3	84e4246	date+subject
42b414b	9ef08bf	date+subject
42f6d44	965a323	date+subject
4344a79	c6019f1	date+subject
43b404a	9f70b9b	date+subject
43cc18a	e6b5ae6	date+subject
43d4019	99680fc	date+subject
44306be	0dda074	date+subject
443b528	7eac35c	date+subject
444c7b9	f521949	date+subject
4520016	a227151	date+subject
452b01c	5393564	date+subject
453072f	c9f4440	date+subject
4538e9e	b72cce9	date+subject
456ec36	8df5f05	date+subject
456f508	3602d5f	date+subject
457af25	aa8c8e6	date+subject
4599315	449be61	date+subject
459f954	362b80b	date+subject
45d0654	ca1b97f	date+subject
460a866	8e2765d	date+subject
465c669	94be66c	date+subject
466b224	c273c2d	date+subject
467060e	e51e03f	date+subject
4683784	7aec941	date+subject
46e4d14	9f8d686	date+subject
46f7c2c	823bb24	date+subject
470f917	e18f685	date+subject
473be8b	4a202f4	date+subject
476a5f2	e0d2849	date+subject
477da22	0e2a66b	date+subject
47f3015	3ba459f	date+subject
480d352	9017668	date+subject
481b699	3237e6b	date+subject
482616c	2db4ac6	date+subject
483fa39	b4c3246	date+subject
483fde6	7ea2ece	date+subject
489c719	8e018e9	date+subject
48a5616	5f2a41f	date+subject
48aadb5	0080cdd	date+subject
48b6b85	ac185df	date+subject
48d767c	1dc624a	date+subject
48e2e75	fe6d9a2	date+subject
4952c0e	545daef	date+subject
4977154	428a118	date+subject
499360d	1d2112d	date+subject
4996d2c	c545f34	date+subject
49f1471	c608833	date+subject
4a14dfc	2909806	date+subject
4a54c91	5d04a18	date+subject
4a6be3d	de9497e	date+subject
4a869ee	bda382e	date+subject
4ad3896	4b61869	date+subject
4ae734d	5de81b5	date+subject
4ba043d	37334f9	date+subject
4baf825	d3db656	date+subject
4be7007	b6fe8fa	date+subject
4bf8398	03ece78	date+subject
4c0c9d4	aa9900e	date+subject
4c1e946	0b402dc	date+subject
4c63325	d3f14b0	date+subject
4c72ce8	2df6e6c	date+subject
