instance	cell_type	group	function_color	provenance_color
_2401_	mux4_2		core_mux	agent_written
_2402_	mux4_2		core_mux	agent_written
_2403_	a22o_2		core_combinational	agent_written
_2404_	a21o_2		core_combinational	agent_written
_2405_	or2_2		core_combinational	agent_written
_2406_	mux2_1		core_mux	agent_written
_2407_	a22o_2		core_combinational	agent_written
_2408_	or2_2		core_combinational	agent_written
_2409_	o211a_2		core_combinational	agent_written
_2410_	and2b_2		core_combinational	agent_written
_2411_	or2_2		core_combinational	agent_written
_2412_	o211a_2		core_combinational	agent_written
_2413_	a211o_2		core_combinational	agent_written
_2414_	mux4_2		core_mux	agent_written
_2415_	mux2_1		core_mux	agent_written
_2416_	a21o_2		core_combinational	agent_written
_2417_	mux2_1		core_mux	agent_written
_2418_	a22o_2		core_combinational	agent_written
_2419_	o22a_2		core_combinational	agent_written
_2420_	nor2_2		core_combinational	agent_written
_2421_	nor2_2		core_combinational	agent_written
_2422_	o21ai_2		core_combinational	agent_written
_2423_	nor2_2		core_combinational	agent_written
_2424_	nand2_2		core_combinational	agent_written
_2425_	nand2b_2		core_combinational	agent_written
_2426_	mux4_2		core_mux	agent_written
_2427_	or2_2		core_combinational	agent_written
_2428_	mux4_2		core_mux	agent_written
_2429_	a21o_2		core_combinational	agent_written
_2430_	mux4_2		core_mux	agent_written
_2431_	o211a_2		core_combinational	agent_written
_2432_	a21o_2		core_combinational	agent_written
_2433_	a221o_2		core_combinational	agent_written
_2434_	and2_2		core_combinational	agent_written
_2435_	a21oi_2		core_combinational	agent_written
_2436_	mux4_2		core_mux	agent_written
_2437_	mux4_2		core_mux	agent_written
_2438_	mux2_1		core_mux	agent_written
_2439_	or2_2		core_combinational	agent_written
_2440_	nand2b_2		core_combinational	agent_written
_2441_	a32o_2		core_combinational	agent_written
_2442_	mux2_1		core_mux	agent_written
_2443_	nand2b_2		core_combinational	agent_written
_2444_	or2_2		core_combinational	agent_written
_2445_	a31o_2		core_combinational	agent_written
_2446_	a221o_2		core_combinational	agent_written
_2447_	nor2_2		core_combinational	agent_written
_2448_	or2_2		core_combinational	agent_written
_2449_	o21a_2		core_combinational	agent_written
_2450_	o21a_2		core_combinational	agent_written
_2451_	or4b_2		core_combinational	agent_written
_2452_	or4bb_2		core_combinational	agent_written
_2453_	a21oi_2		core_combinational	agent_written
_2454_	and2_2		core_combinational	agent_written
_2455_	mux4_2		core_mux	agent_written
_2456_	and2_2		core_combinational	agent_written
_2457_	mux4_2		core_mux	agent_written
_2458_	mux4_2		core_mux	agent_written
_2459_	a22o_2		core_combinational	agent_written
_2460_	or4_2		core_combinational	agent_written
_2461_	mux4_2		core_mux	agent_written
_2462_	or2_2		core_combinational	agent_written
_2463_	o211a_2		core_combinational	agent_written
_2464_	mux2_1		core_mux	agent_written
_2465_	a22o_2		core_combinational	agent_written
_2466_	o21ai_2		core_combinational	agent_written
_2467_	mux4_2		core_mux	agent_written
_2468_	nand2b_2		core_combinational	agent_written
_2469_	o21a_2		core_combinational	agent_written
_2470_	a221o_2		core_combinational	agent_written
_2471_	o211ai_2		core_combinational	agent_written
_2472_	and3_2		core_combinational	agent_written
_2473_	nor2_2		core_combinational	agent_written
_2474_	inv_2		core_combinational	agent_written
_2475_	or4b_2		core_combinational	agent_written
_2476_	or4bb_2		core_combinational	agent_written
_2477_	a21oi_2		core_combinational	agent_written
_2478_	mux4_2		core_mux	agent_written
_2479_	and2_2		core_combinational	agent_written
_2480_	mux4_2		core_mux	agent_written
_2481_	mux4_2		core_mux	agent_written
_2482_	a22o_2		core_combinational	agent_written
_2483_	a2111o_2		core_combinational	agent_written
_2484_	mux4_2		core_mux	agent_written
_2485_	or2_2		core_combinational	agent_written
_2486_	o211a_2		core_combinational	agent_written
_2487_	mux2_1		core_mux	agent_written
_2488_	a22o_2		core_combinational	agent_written
_2489_	o21ai_2		core_combinational	agent_written
_2490_	mux2_1		core_mux	agent_written
_2491_	a22o_2		core_combinational	agent_written
_2492_	nor2_2		core_combinational	agent_written
_2493_	nand2_2		core_combinational	agent_written
_2494_	mux4_2		core_mux	agent_written
_2495_	a22oi_2		core_combinational	agent_written
_2496_	and3_2		core_combinational	agent_written
_2497_	nor2_2		core_combinational	agent_written
_2498_	inv_2		core_combinational	agent_written
_2499_	a22o_2		core_combinational	agent_written
_2500_	a22o_2		core_combinational	agent_written
_2501_	a22o_2		core_combinational	agent_written
_2502_	mux4_2		core_mux	agent_written
_2503_	mux4_2		core_mux	agent_written
_2504_	mux4_2		core_mux	agent_written
_2505_	a22o_2		core_combinational	agent_written
_2506_	a21o_2		core_combinational	agent_written
_2507_	or2_2		core_combinational	agent_written
_2508_	inv_2		core_combinational	agent_written
_2509_	mux2_1		core_mux	agent_written
_2510_	a22o_2		core_combinational	agent_written
_2511_	or2_2		core_combinational	agent_written
_2512_	o211a_2		core_combinational	agent_written
_2513_	mux2_1		core_mux	agent_written
_2514_	a221o_2		core_combinational	agent_written
_2515_	mux4_2		core_mux	agent_written
_2516_	mux2_1		core_mux	agent_written
_2517_	mux2_1		core_mux	agent_written
_2518_	a22o_2		core_combinational	agent_written
_2519_	a211o_2		core_combinational	agent_written
_2520_	o21ai_2		core_combinational	agent_written
_2521_	a21oi_2		core_combinational	agent_written
_2522_	and2_2		core_combinational	agent_written
_2523_	nor2_2		core_combinational	agent_written
_2524_	or2_2		core_combinational	agent_written
_2525_	o211ai_2		core_combinational	agent_written
_2526_	a22o_2		core_combinational	agent_written
_2527_	a22o_2		core_combinational	agent_written
_2528_	mux4_2		core_mux	agent_written
_2529_	mux4_2		core_mux	agent_written
_2530_	mux4_2		core_mux	agent_written
_2531_	a22o_2		core_combinational	agent_written
_2532_	a21o_2		core_combinational	agent_written
_2533_	or2_2		core_combinational	agent_written
_2534_	inv_2		core_combinational	agent_written
